Covariance,pvalue
0.76957679,0
0.074547999,0.000199960007998
0.052168828,1.00E-04
0.02433349,0.093281343731254
0.015506105,0.236152769446111
0.013142406,0.289242151569686
0.011873851,0.494401119776045
0.0063840691,0.830933813237353
0.005007159,0.862927414517097
0.0047913869,0.93371325734853
0.0038523581,0.953609278144371
0.0036360428,0.951509698060388
0.0026191783,0.988602279544091
0.0021792569,0.999600079984003
0.0016020823,0.998300339932014
0.0014685541,0.999900019996001
0.001413323,0.999900019996001
0.001215977,0.999900019996001
0.0011421037,0.999900019996001
0.0007270248,0.999900019996001
0.00058829325,0.999900019996001
0.00054727891,0.999900019996001
0.00046923675,0.999900019996001
0.00039604443,0.999900019996001
0.00031924687,0.999900019996001
0.00020197725,0.999900019996001
0.00012867052,0.999900019996001
9.26E-05,0.999900019996001
4.08E-05,0.999900019996001
2.80E-05,0.999900019996001
